iter	Passed	Remaining
145	275	1611
146	276	1603
147	277	1595
148	277	1587
149	278	1579
150	279	1571
151	280	1564
152	281	1556
153	281	1548
154	282	1540
155	283	1533
156	284	1526
157	285	1518
158	285	1511
159	286	1504
160	287	1497
161	288	1490
162	288	1483
163	289	1476
164	290	1469
165	291	1463
166	292	1456
167	292	1449
168	293	1443
169	294	1436
170	295	1430
171	295	1424
172	296	1417
173	297	1411
174	298	1405
175	298	1399
176	299	1393
177	300	1387
178	301	1381
179	301	1375
180	302	1367
181	302	1361
182	303	1356
183	304	1350
184	305	1345
185	306	1339
186	306	1334
187	307	1328
188	308	1323
189	309	1318
190	309	1312
191	310	1307
192	311	1302
193	312	1297
194	313	1292
195	313	1287
196	314	1282
197	315	1277
198	316	1272
199	316	1267
200	317	1263
201	319	1260
202	320	1256
203	321	1252
204	322	1249
205	322	1244
206	323	1241
207	324	1236
208	325	1232
209	326	1228
210	327	1224
211	328	1220
212	329	1216
213	330	1212
214	330	1208
215	332	1205
216	333	1202
217	334	1198
218	334	1193
219	335	1189
220	336	1185
221	337	1181
222	338	1177
223	338	1174
224	339	1170
225	340	1166
226	341	1162
227	342	1159
228	343	1155
229	344	1152
230	344	1148
231	345	1145
232	346	1141
233	347	1137
234	348	1134
235	349	1131
236	350	1127
237	351	1124
238	352	1121
239	352	1117
240	353	1114
241	354	1110
242	355	1107
243	356	1104
244	357	1101
245	358	1097
246	358	1094
247	359	1091
248	360	1088
249	361	1085
250	363	1084
251	364	1081
252	365	1079
253	366	1077
254	368	1075
255	369	1073
256	370	1071
257	371	1068
258	372	1064
259	373	1061
260	373	1058
261	374	1055
262	375	1052
263	376	1049
264	377	1046
265	378	1043
266	379	1040
267	379	1037
268	380	1034
269	381	1031
270	382	1028
271	383	1025
272	384	1022
273	384	1019
274	385	1017
275	386	1014
276	387	1011
277	388	1008
278	389	1006
279	390	1003
280	391	1000
281	391	997
282	392	995
283	393	992
284	394	989
285	395	987
286	396	984
287	397	981
288	398	979
289	398	976
290	399	973
291	400	971
292	401	968
293	402	965
294	403	963
295	403	960
296	404	958
297	406	956
298	407	954
299	408	952
300	408	949
301	409	946
302	410	944
303	411	942
304	412	939
305	413	937
306	414	935
307	415	932
308	416	930
309	417	928
310	417	926
311	418	923
312	419	921
313	420	919
314	421	916
315	422	914
316	423	911
317	424	909
318	424	907
319	425	904
320	426	902
321	427	900
322	428	897
323	429	895
324	430	893
325	431	891
326	431	889
327	433	887
328	434	885
329	435	883
330	436	881
331	437	879
332	438	877
333	439	875
334	439	873
335	440	871
336	441	868
337	442	866
338	443	864
339	444	862
340	445	860
341	446	858
342	447	856
343	447	854
344	448	852
345	449	850
346	450	848
347	451	846
348	452	844
349	453	842
350	454	840
351	455	838
352	456	836
353	457	834
354	458	832
355	459	831
356	460	829
357	461	827
358	462	825
359	463	823
360	464	821
361	465	819
362	466	817
363	466	815
364	467	813
365	468	812
366	469	810
367	470	808
368	471	806
369	472	804
370	473	802
371	474	800
372	475	798
373	476	797
374	477	795
375	478	793
376	479	791
377	479	789
378	480	787
379	481	786
380	482	784
381	483	782
382	484	780
383	485	778
384	486	776
385	487	774
386	488	773
387	488	771
388	489	769
389	490	767
390	491	765
391	492	763
392	493	762
393	494	760
394	495	758
395	496	756
396	497	755
397	498	753
398	498	751
399	499	749
400	500	748
401	501	746
402	502	744
403	503	742
404	504	740
405	505	739
406	506	737
407	506	735
408	507	733
409	508	731
410	509	730
411	510	728
412	511	726
413	512	725
414	513	723
415	513	721
416	514	719
417	515	718
418	516	716
419	517	714
420	518	712
421	519	711
422	520	709
423	521	708
424	522	706
425	522	704
426	523	702
427	524	701
428	525	699
429	526	697
430	527	696
431	528	694
432	529	692
433	530	691
434	530	689
435	531	687
436	532	686
437	533	684
438	534	683
439	535	681
440	536	679
441	537	678
442	538	676
443	539	675
444	539	673
445	540	671
446	541	670
447	542	668
448	543	666
449	544	665
450	545	663
451	545	661
452	546	660
453	548	659
454	549	657
455	550	656
456	550	654
457	551	653
458	552	651
459	553	649
460	554	648
461	555	646
462	556	644
463	556	643
464	557	641
465	558	640
466	559	638
467	560	637
468	561	635
469	562	633
470	562	632
471	563	630
472	564	629
473	565	627
474	566	626
475	567	624
476	568	623
477	569	621
478	570	620
479	570	618
480	571	617
481	572	615
482	573	614
483	574	612
484	575	611
485	576	609
486	577	608
487	578	606
488	579	605
489	580	604
490	581	602
491	582	601
492	583	600
493	584	598
494	585	597
495	586	595
496	587	594
497	588	593
498	589	591
499	590	590
500	590	588
501	591	587
502	592	585
503	594	584
504	594	583
505	595	581
506	596	580
507	597	578
508	598	577
509	599	576
510	600	574
511	601	573
512	602	571
513	603	570
514	603	568
515	604	567
516	605	566
517	606	564
518	607	563
519	608	561
520	609	560
521	610	559
522	611	557
523	612	556
524	613	554
525	614	553
526	615	552
527	616	550
528	616	549
529	617	547
530	618	546
531	619	544
532	620	543
533	621	542
534	622	540
535	623	539
536	623	537
537	624	536
538	625	535
539	626	533
540	627	532
541	628	531
542	629	529
543	630	528
544	631	526
545	632	525
546	633	524
547	633	522
548	634	521
549	635	520
550	636	518
551	637	517
552	638	516
553	639	514
554	640	513
555	641	511
556	641	510
557	642	509
558	643	507
559	644	506
560	645	505
561	646	503
562	647	502
563	648	501
564	649	499
565	650	498
566	651	497
567	652	495
568	652	494
569	653	493
570	654	491
571	655	490
572	656	488
573	657	487
574	657	486
575	658	484
576	659	483
577	660	482
578	661	480
579	662	479
580	663	478
581	664	476
582	665	475
583	665	474
584	666	473
585	667	471
586	668	470
587	669	469
588	670	467
589	671	466
590	672	465
591	672	463
592	673	462
593	674	461
594	675	459
595	676	458
596	677	457
597	678	455
598	679	454
599	679	453
600	680	452
601	681	450
602	682	449
603	683	448
604	684	446
605	685	445
606	686	444
607	687	443
608	688	441
609	689	440
610	690	439
611	690	438
612	691	436
613	692	435
614	693	434
615	694	432
616	695	431
617	696	430
618	697	429
619	697	427
620	698	426
621	699	425
622	700	423
623	701	422
624	702	421
625	703	420
626	704	418
627	704	417
628	705	416
629	706	414
630	707	413
631	708	412
632	709	411
633	710	410
634	711	408
635	712	407
636	713	406
637	714	405
638	715	404
639	716	402
640	717	401
641	717	400
642	718	399
643	719	397
644	721	396
645	722	395
646	723	394
647	724	393
648	725	392
649	726	391
650	728	390
651	729	389
652	730	388
653	731	387
654	732	385
655	733	384
656	734	383
657	735	382
658	736	381
659	737	379
660	738	378
661	739	377
662	740	376
663	741	375
664	742	374
665	743	372
666	744	371
667	745	370
668	747	369
669	749	369
670	751	368
671	752	367
672	753	366
673	756	365
674	757	364
675	759	363
676	760	362
677	761	361
678	761	360
679	762	358
680	763	357
681	764	356
682	768	356
683	770	355
684	771	354
685	772	353
686	773	352
687	774	351
688	775	350
689	776	348
690	777	347
691	779	346
692	780	345
693	781	344
694	783	343
695	784	342
696	785	341
697	786	340
698	787	339
699	788	338
700	789	336
701	791	335
702	792	334
703	794	333
704	795	332
705	796	331
706	798	330
707	800	329
708	801	329
709	803	328
710	804	326
711	805	325
712	806	324
713	807	323
714	808	322
715	809	321
716	811	320
717	813	319
718	814	318
719	816	317
720	817	316
721	818	315
722	819	314
723	820	312
724	821	311
725	822	310
726	823	309
727	824	308
728	826	307
729	828	306
730	829	305
731	830	304
732	831	302
733	832	301
734	833	300
735	834	299
736	834	297
737	835	296
738	836	295
739	837	294
740	838	293
741	839	291
742	840	290
743	841	289
744	843	288
745	844	287
746	845	286
747	846	285
748	847	283
749	848	282
750	849	281
751	850	280
752	851	279
753	851	277
754	852	276
755	853	275
756	854	274
757	855	273
758	856	272
759	858	270
760	859	269
761	859	268
762	860	267
763	861	266
764	862	265
765	863	263
766	864	262
767	865	261
768	866	260
769	867	258
770	867	257
771	868	256
772	869	255
773	870	254
774	871	253
775	872	251
776	874	250
777	874	249
778	875	248
779	876	247
780	877	246
781	878	244
782	879	243
783	880	242
784	881	241
785	882	240
786	883	239
787	884	237
788	885	236
789	886	235
790	887	234
791	888	233
792	889	232
793	890	230
794	891	229
795	891	228
796	892	227
797	893	226
798	894	225
799	895	223
800	897	222
801	898	221
802	899	220
803	899	219
804	900	218
805	901	217
806	903	215
807	904	214
808	905	213
809	906	212
810	906	211
811	907	210
812	908	209
813	909	207
814	910	206
815	911	205
816	912	204
817	912	203
818	913	201
819	914	200
820	915	199
821	916	198
822	917	197
823	918	196
824	919	195
825	920	193
826	921	192
827	922	191
828	923	190
829	924	189
830	925	188
831	926	186
832	927	185
833	927	184
834	928	183
835	929	182
836	930	181
837	931	180
838	933	179
839	934	177
840	935	176
841	936	175
842	937	174
843	938	173
844	939	172
845	939	171
846	940	169
847	941	168
848	942	167
849	943	166
850	944	165
851	945	164
852	946	163
853	947	161
854	948	160
855	949	159
856	950	158
857	951	157
858	952	156
859	953	155
860	954	154
861	955	152
862	955	151
863	956	150
864	957	149
865	958	148
866	959	147
867	960	146
868	961	144
869	962	143
870	963	142
871	964	141
872	965	140
873	965	139
874	966	138
875	967	137
876	968	135
877	969	134
878	970	133
879	971	132
880	972	131
881	973	130
882	974	129
883	975	127
884	976	126
885	977	125
886	978	124
887	978	123
888	979	122
889	980	121
890	981	120
891	982	118
892	983	117
893	984	116
894	985	115
895	986	114
896	987	113
897	988	112
898	989	111
899	990	110
900	991	108
901	992	107
902	993	106
903	994	105
904	995	104
905	996	103
906	996	102
907	997	101
908	998	99
909	999	98
910	1000	97
911	1001	96
912	1002	95
913	1003	94
914	1004	93
915	1005	92
916	1006	91
917	1007	90
918	1008	88
919	1009	87
920	1010	86
921	1011	85
922	1012	84
923	1013	83
924	1013	82
925	1015	81
926	1016	80
927	1017	78
928	1019	77
929	1020	76
930	1021	75
931	1022	74
932	1023	73
933	1024	72
934	1025	71
935	1026	70
936	1026	69
937	1027	67
938	1028	66
939	1029	65
940	1030	64
941	1031	63
942	1032	62
943	1033	61
944	1034	60
945	1035	59
946	1037	58
947	1038	56
948	1039	55
949	1040	54
950	1041	53
951	1042	52
952	1043	51
953	1044	50
954	1045	49
955	1046	48
956	1046	47
957	1047	45
958	1048	44
959	1049	43
960	1051	42
961	1052	41
962	1054	40
963	1055	39
964	1056	38
965	1057	37
966	1058	36
967	1058	35
968	1059	33
969	1060	32
970	1061	31
971	1062	30
972	1063	29
973	1065	28
974	1066	27
975	1067	26
976	1068	25
977	1069	24
978	1070	22
979	1071	21
980	1072	20
981	1073	19
982	1074	18
983	1076	17
984	1077	16
985	1078	15
986	1081	14
987	1083	13
988	1084	12
989	1085	10
990	1086	9
991	1086	8
992	1087	7
993	1088	6
994	1089	5
995	1090	4
996	1091	3
997	1092	2
998	1093	1
999	1094	0
