iter	RMSE
0	147.9294527
1	134.1539948
2	121.704261
3	110.4630635
4	100.3822482
5	91.13136025
6	82.87889041
7	75.27894627
8	68.5824944
9	62.54496151
10	57.05990068
11	52.05579992
12	47.54750452
13	43.56408332
14	39.99474803
15	36.76170726
16	33.9432557
17	31.35815695
18	29.0779206
19	27.05358696
20	25.2793297
21	23.72752315
22	22.36378542
23	21.18578715
24	20.15119434
25	19.26128999
26	18.50609833
27	17.84802844
28	17.30715868
29	16.84560977
30	16.44662219
31	16.11090144
32	15.82207777
33	15.57544147
34	15.36916485
35	15.19836087
36	15.05588531
37	14.93445014
38	14.82872825
39	14.73655686
40	14.66269379
41	14.59762023
42	14.54551396
43	14.49869955
44	14.46176992
45	14.42727642
46	14.3959689
47	14.37028711
48	14.3466905
49	14.32231189
50	14.30791036
51	14.29202944
52	14.27557282
53	14.26250259
54	14.24955833
55	14.24049619
56	14.23039295
57	14.22338383
58	14.21518366
59	14.20920845
60	14.19947023
61	14.19027838
62	14.18403021
63	14.17699202
64	14.17289539
65	14.16855959
66	14.16299053
67	14.15856283
68	14.1549156
69	14.15176432
70	14.14745727
71	14.14329813
72	14.14015412
73	14.13694197
74	14.13464253
75	14.13227848
76	14.12649018
77	14.12105261
78	14.11773012
79	14.1125683
80	14.10904537
81	14.1041973
82	14.10318131
83	14.10084734
84	14.09805695
85	14.09521151
86	14.09116868
87	14.08835671
88	14.08496359
89	14.08243038
90	14.07955429
91	14.0761833
92	14.07401954
93	14.07171898
94	14.06817958
95	14.06546843
96	14.06243721
97	14.06073151
98	14.05805378
99	14.05654843
100	14.05449285
101	14.05205331
102	14.0501396
103	14.0487529
104	14.04640928
105	14.04500033
106	14.04286455
107	14.04121051
108	14.039649
109	14.03742037
110	14.03403417
111	14.03169443
112	14.03037072
113	14.02677677
114	14.0247371
115	14.02180017
116	14.02036644
117	14.0184687
118	14.0169587
119	14.01537116
120	14.01320436
121	14.01190728
122	14.00957997
123	14.00788844
124	14.00625945
125	14.00453418
126	14.00352053
127	14.00134848
128	14.00027011
129	13.99755274
130	13.99585316
131	13.99410056
132	13.99196786
133	13.98994097
134	13.98887393
135	13.98675986
136	13.98508723
137	13.98221522
138	13.98053481
139	13.97890901
140	13.97720575
141	13.97523264
142	13.97361912
143	13.97114718
144	13.96954885
145	13.96779215
146	13.96650148
147	13.96487964
148	13.96331654
149	13.96175429
150	13.96050977
151	13.95874096
152	13.95736687
153	13.95608542
154	13.95393187
155	13.95286442
156	13.95130523
157	13.94940618
158	13.9480259
159	13.9471102
160	13.94529146
161	13.94373394
162	13.9421633
163	13.94001068
164	13.93843202
165	13.93668814
166	13.93587827
167	13.93488394
168	13.93345265
169	13.93197286
170	13.93028917
171	13.9292347
172	13.92850725
173	13.92686358
174	13.92546656
175	13.92358095
176	13.92266381
177	13.92073877
178	13.91963384
179	13.91826519
180	13.91667762
181	13.91509034
182	13.91393543
183	13.91240073
184	13.91128155
185	13.90953712
186	13.90730409
187	13.90627355
